name,team,match_id,shots,passing,chances,crossing,set_piece,take_ons,tackles,aerial_duels,interceptions,clearance,fouls,cards,throw_ins,blocks,gk,goal,own_goal,date,stadium,league,did_play,did_start,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90
Brad Guzan,M'BROUGH,M'BROUGHvARSENAL,0,69%,0,0,0,0,0%,0%,0,1,0,0,0,0,3,0,0,17.04.2017,Riverside Stadium,English Premier League,1,1,0,-1,4,3,1,2,8,9,13,-4,-4,-3,-3,1,0,-18,-18,-19,-8
Fabio,M'BROUGH,M'BROUGHvARSENAL,0,86%,1,0,0,0,100%,100%,0,1,0,0,3,0,0,0,0,17.04.2017,Riverside Stadium,English Premier League,1,1,0,7,14,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
Daniel Ayala,M'BROUGH,M'BROUGHvARSENAL,3,70%,0,0,0,0,0%,70%,2,6,0,0,0,2,0,0,0,17.04.2017,Riverside Stadium,English Premier League,1,1,0,2,0,-3,-2,-1,-2,1,0,-4,-5,-4,-1,6,7,1,10,18,20
Ben Gibson,M'BROUGH,M'BROUGHvARSENAL,1,70%,0,0,0,0,0%,33%,2,3,0,0,0,1,0,0,0,17.04.2017,Riverside Stadium,English Premier League,1,1,0,2,5,5,7,5,7,7,7,-3,-1,-1,0,0,0,-7,-8,-5,3
Antonio BarragÍçn,M'BROUGH,M'BROUGHvARSENAL,0,74%,0,3,0,0,75%,100%,1,3,1,0,4,4,0,0,0,17.04.2017,Riverside Stadium,English Premier League,1,1,0,2,4,5,2,4,6,10,9,3,4,4,0,-2,-1,-8,-8,-9,-7
Grant Leadbitter,M'BROUGH,M'BROUGHvARSENAL,3,65%,0,1,0,0,25%,50%,3,0,1,1,0,1,0,0,0,17.04.2017,Riverside Stadium,English Premier League,1,1,0,3,-12,-12,-12,-18,-18,-13,-14,-8,-9,-9,-9,-9,-1,0,1,-6,-9
Adam Clayton,M'BROUGH,M'BROUGHvARSENAL,0,85%,2,2,0,1,60%,0%,1,1,4,0,0,3,0,0,0,17.04.2017,Riverside Stadium,English Premier League,1,1,0,-2,-2,-4,0,8,13,6,4,4,4,7,5,11,9,11,12,17,15
Marten de Roon,M'BROUGH,M'BROUGHvARSENAL,1,69%,0,0,0,0,0%,25%,0,2,3,0,0,1,0,0,0,17.04.2017,Riverside Stadium,English Premier League,1,1,0,0,2,2,-12,-12,-14,-15,-25,-25,-30,-30,-30,-29,-29,-29,-31,-31,-29
Stewart Downing,M'BROUGH,M'BROUGHvARSENAL,1,79%,2,10,0,1,50%,50%,2,0,0,0,0,1,0,0,0,17.04.2017,Riverside Stadium,English Premier League,1,1,0,0,-2,-1,4,5,6,-1,-1,-1,27,29,29,33,30,31,29,29,25
GastÍ_n RamÍ_rez,M'BROUGH,M'BROUGHvARSENAL,0,75%,0,2,0,8,33%,0%,1,0,1,0,0,3,0,0,0,17.04.2017,Riverside Stadium,English Premier League,1,1,0,11,17,14,11,8,7,5,-9,-4,-4,-5,-5,-10,-9,-9,-9,-9,-7
ÍÅlvaro Negredo,M'BROUGH,M'BROUGHvARSENAL,4,64%,0,0,0,0,100%,67%,0,0,0,0,1,0,0,1,0,17.04.2017,Riverside Stadium,English Premier League,1,1,0,-1,2,-5,-5,-4,-6,-2,-1,3,37,35,37,39,37,38,42,42,43
Dimitrios Konstantopoulos,M'BROUGH,M'BROUGHvARSENAL,0,0%,0,0,0,0,0%,0%,0,0,0,0,0,0,0,0,0,17.04.2017,Riverside Stadium,English Premier League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
George Friend,M'BROUGH,M'BROUGHvARSENAL,0,65%,1,2,0,3,25%,100%,1,6,0,0,10,2,0,0,0,17.04.2017,Riverside Stadium,English Premier League,1,0,0,0,0,0,0,1,-4,-2,-1,-7,-11,-7,-5,1,1,-5,-7,-9,-15
Bernardo,M'BROUGH,M'BROUGHvARSENAL,0,0%,0,0,0,0,0%,0%,0,0,0,0,0,0,0,0,0,17.04.2017,Riverside Stadium,English Premier League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Forshaw,M'BROUGH,M'BROUGHvARSENAL,0,0%,0,0,0,0,0%,0%,0,0,0,0,0,0,0,0,0,17.04.2017,Riverside Stadium,English Premier League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adama TraorÍ©,M'BROUGH,M'BROUGHvARSENAL,0,67%,0,2,0,6,0%,0%,0,0,1,0,0,0,0,0,0,17.04.2017,Riverside Stadium,English Premier League,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,4,2
Rudy Gestede,M'BROUGH,M'BROUGHvARSENAL,0,67%,1,0,0,0,0%,50%,0,0,0,1,0,0,0,0,0,17.04.2017,Riverside Stadium,English Premier League,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-8,-10
Patrick Bamford,M'BROUGH,M'BROUGHvARSENAL,0,0%,0,0,0,0,0%,0%,0,0,0,0,0,0,0,0,0,17.04.2017,Riverside Stadium,English Premier League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
